keyframe_idx,x,y,theta
114,10.143290178676164,-13.085100100467631,3.0046527477657916
115,9.832633544719924,-13.028980637643818,3.0610775596102417
116,9.56265091631546,-12.993907280880642,3.0614537541931233
117,9.25280965820791,-12.949392296646433,3.060737257717848
118,8.94891404811843,-12.91959299180245,3.0523251415998627
119,8.673913178772786,-12.892384548224488,3.0404580184923495
120,8.39570832720209,-12.864104113473898,3.0364073949459476
121,8.166874626384732,-12.821441705840472,3.036650151179706
122,7.8369782159272745,-12.777766785617356,3.019071263227494
123,7.72762026159157,-12.780236470507198,-3.103635044616088
124,7.464589991339782,-12.782360189835268,-2.9221900077920706
125,7.145379948024973,-12.786980797225787,-2.935755656672281
126,6.901782034658762,-12.803844435448635,-3.1072725732040993
127,6.623492147476413,-12.766531164403162,-3.136152535293652
128,6.37479834334735,-12.768256566340797,-3.1219241177559116
129,6.152140531786406,-12.785514714788661,-3.092879039391007
130,5.851413281559922,-12.770469523491117,-3.094196566188691
131,5.576564365444694,-12.769297352863704,-3.101148747357717
132,5.277373820484274,-12.780554999162907,-3.0820437932719367
133,4.94609264545208,-12.77667299148344,-3.0934210147079346
134,4.643471566098119,-12.770694093033285,-3.0792214627126158
135,4.392228907387182,-12.799800622845574,3.0464592351378097
136,4.09613837546148,-12.739432793603388,2.980055045950289
137,3.8226644965835295,-12.713871341704664,2.994013208053785
138,3.527229821389247,-12.659319258421878,2.995393565993101
139,3.225762226267791,-12.58261820697132,3.014380452246795
140,2.9758785135589836,-12.553538971043217,3.0156173449262775
141,2.689872305427575,-12.48779241130034,3.0331250761967095
142,2.3556010074118086,-12.433026210533242,3.0323801124668495
143,2.0481455787123,-12.365104072555736,3.034342841125868
144,1.9312086564796729,-12.324178693325713,2.8623622771100634
145,1.630114491670593,-12.22638265408986,2.7954927475333595
146,1.3879975955893256,-12.114817624497814,2.7900668722443602
147,1.0835536386399038,-11.974805949473538,2.679384206140005
148,0.82591689651546,-11.801362221994673,2.665556993599114
149,0.5742735164659992,-11.637728853384157,2.5713994403536455
150,0.40999835765834913,-11.514908903291913,2.394227117866226
